Lon,Lat
19.96600,50.05045
19.96633,50.05045
19.95000,50.05047
19.95033,50.05047
19.95067,50.05047
19.95100,50.05047
19.95133,50.05047
19.95167,50.05047
19.95200,50.05047
19.95233,50.05047
19.95267,50.05047
19.95300,50.05047
19.95333,50.05047
19.95367,50.05047
19.95400,50.05047
19.95433,50.05047
19.95467,50.05047
19.95500,50.05047
19.95533,50.05047
19.95567,50.05047
19.95600,50.05047
19.95633,50.05047
19.95667,50.05047
19.95700,50.05047
19.95733,50.05047
19.95767,50.05047
19.95800,50.05047
19.95833,50.05047
19.95867,50.05047
19.95900,50.05047
19.95933,50.05047
19.95967,50.05047
19.96000,50.05047
19.96033,50.05047
19.96067,50.05047
19.96100,50.05047
19.96133,50.05047
19.96167,50.05047
19.96200,50.05047
19.96233,50.05047
19.96267,50.05047
19.96300,50.05047
19.96333,50.05047
19.96367,50.05047
19.96400,50.05047
19.96433,50.05047
19.96467,50.05047
19.96500,50.05047
19.96533,50.05047
19.96567,50.05047
19.96600,50.05047
19.96633,50.05047
19.95000,50.05048
19.95033,50.05048
19.95067,50.05048
19.95100,50.05048
19.95133,50.05048
19.95167,50.05048
19.95200,50.05048
19.95233,50.05048
19.95267,50.05048
19.95300,50.05048
19.95333,50.05048
19.95367,50.05048
19.95400,50.05048
19.95433,50.05048
19.95467,50.05048
19.95500,50.05048
19.95533,50.05048
19.95567,50.05048
19.95600,50.05048
19.95633,50.05048
19.95667,50.05048
19.95700,50.05048
19.95733,50.05048
19.95767,50.05048
19.95800,50.05048
19.95833,50.05048
19.95867,50.05048
19.95900,50.05048
19.95933,50.05048
19.95967,50.05048
19.96000,50.05048
19.96033,50.05048
19.96067,50.05048
19.96100,50.05048
19.96133,50.05048
19.96167,50.05048
19.96200,50.05048
19.96233,50.05048
19.96267,50.05048
19.96300,50.05048
19.96333,50.05048
19.96367,50.05048
19.96400,50.05048
19.96433,50.05048
19.96467,50.05048
19.96500,50.05048
19.96533,50.05048
19.96567,50.05048
19.96600,50.05048
19.96633,50.05048
19.95000,50.05050
19.95033,50.05050
19.95067,50.05050
19.95100,50.05050
19.95133,50.05050
19.95167,50.05050
19.95200,50.05050
19.95233,50.05050
19.95267,50.05050
19.95300,50.05050
19.95333,50.05050
19.95367,50.05050
19.95400,50.05050
19.95433,50.05050
19.95467,50.05050
19.95500,50.05050
19.95533,50.05050
19.95567,50.05050
19.95600,50.05050
19.95633,50.05050
19.95667,50.05050
19.95700,50.05050
19.95733,50.05050
19.95767,50.05050
19.95800,50.05050
19.95833,50.05050
19.95867,50.05050
19.95900,50.05050
19.95933,50.05050
19.95967,50.05050
19.96000,50.05050
19.96033,50.05050
19.96067,50.05050
19.96100,50.05050
19.96133,50.05050
19.96167,50.05050
19.96200,50.05050
19.96233,50.05050
19.96267,50.05050
19.96300,50.05050
19.96333,50.05050
19.96367,50.05050
19.96400,50.05050
19.96433,50.05050
19.96467,50.05050
19.96500,50.05050
19.96533,50.05050
19.96567,50.05050
19.96600,50.05050
19.96633,50.05050
19.95000,50.05052
19.95033,50.05052
19.95067,50.05052
19.95100,50.05052
19.95133,50.05052
19.95167,50.05052
19.95200,50.05052
19.95233,50.05052
19.95267,50.05052
19.95300,50.05052
19.95333,50.05052
19.95367,50.05052
19.95400,50.05052
19.95433,50.05052
19.95467,50.05052
19.95500,50.05052
19.95533,50.05052
19.95567,50.05052
19.95600,50.05052
19.95633,50.05052
19.95667,50.05052
19.95700,50.05052
19.95733,50.05052
19.95767,50.05052
19.95800,50.05052
19.95833,50.05052
19.95867,50.05052
19.95900,50.05052
19.95933,50.05052
19.95967,50.05052
19.96000,50.05052
19.96033,50.05052
19.96067,50.05052
19.96100,50.05052
19.96133,50.05052
19.96167,50.05052
19.96200,50.05052
19.96233,50.05052
19.96267,50.05052
19.96300,50.05052
19.96333,50.05052
19.96367,50.05052
19.96400,50.05052
19.96433,50.05052
19.96467,50.05052
19.96500,50.05052
19.96533,50.05052
19.96567,50.05052
19.96600,50.05052
19.96633,50.05052
19.95000,50.05053
19.95033,50.05053
19.95067,50.05053
19.95100,50.05053
19.95133,50.05053
19.95167,50.05053
19.95200,50.05053
19.95233,50.05053
19.95267,50.05053
19.95300,50.05053
19.95333,50.05053
19.95367,50.05053
19.95400,50.05053
19.95433,50.05053
19.95467,50.05053
19.95500,50.05053
19.95533,50.05053
19.95567,50.05053
19.95600,50.05053
19.95633,50.05053
19.95667,50.05053
19.95700,50.05053
19.95733,50.05053
19.95767,50.05053
19.95800,50.05053
19.95833,50.05053
19.95867,50.05053
19.95900,50.05053
19.95933,50.05053
19.95967,50.05053
19.96000,50.05053
19.96033,50.05053
19.96067,50.05053
19.96100,50.05053
19.96133,50.05053
19.96167,50.05053
19.96200,50.05053
19.96233,50.05053
19.96267,50.05053
19.96300,50.05053
19.96333,50.05053
19.96367,50.05053
19.96400,50.05053
19.96433,50.05053
19.96467,50.05053
19.96500,50.05053
19.96533,50.05053
19.96567,50.05053
19.96600,50.05053
19.96633,50.05053
19.95000,50.05055
19.95033,50.05055
19.95067,50.05055
19.95100,50.05055
19.95133,50.05055
19.95167,50.05055
19.95200,50.05055
19.95233,50.05055
19.95267,50.05055
19.95300,50.05055
19.95333,50.05055
19.95367,50.05055
19.95400,50.05055
19.95433,50.05055
19.95467,50.05055
19.95500,50.05055
19.95533,50.05055
19.95567,50.05055
19.95600,50.05055
19.95633,50.05055
19.95667,50.05055
19.95700,50.05055
19.95733,50.05055
19.95767,50.05055
19.95800,50.05055
19.95833,50.05055
19.95867,50.05055
19.95900,50.05055
19.95933,50.05055
19.95967,50.05055
19.96000,50.05055
19.96033,50.05055
19.96067,50.05055
19.96100,50.05055
19.96133,50.05055
19.96167,50.05055
19.96200,50.05055
19.96233,50.05055
19.96267,50.05055
19.96300,50.05055
19.96333,50.05055
19.96367,50.05055
19.96400,50.05055
19.96433,50.05055
19.96467,50.05055
19.96500,50.05055
19.96533,50.05055
19.96567,50.05055
19.96600,50.05055
19.96633,50.05055
19.95000,50.05057
19.95033,50.05057
19.95067,50.05057
19.95100,50.05057
19.95133,50.05057
19.95167,50.05057
19.95200,50.05057
19.95233,50.05057
19.95267,50.05057
19.95300,50.05057
19.95333,50.05057
19.95367,50.05057
19.95400,50.05057
19.95433,50.05057
19.95467,50.05057
19.95500,50.05057
19.95533,50.05057
19.95567,50.05057
19.95600,50.05057
19.95633,50.05057
19.95667,50.05057
19.95700,50.05057
19.95733,50.05057
19.95767,50.05057
19.95800,50.05057
19.95833,50.05057
19.95867,50.05057
19.95900,50.05057
19.95933,50.05057
19.95967,50.05057
19.96000,50.05057
19.96033,50.05057
19.96067,50.05057
19.96100,50.05057
19.96133,50.05057
19.96167,50.05057
19.96200,50.05057
19.96233,50.05057
19.96267,50.05057
19.96300,50.05057
19.96333,50.05057
19.96367,50.05057
19.96400,50.05057
19.96433,50.05057
19.96467,50.05057
19.96500,50.05057
19.96533,50.05057
19.96567,50.05057
19.96600,50.05057
19.96633,50.05057
19.95000,50.05058
19.95033,50.05058
19.95067,50.05058
19.95100,50.05058
19.95133,50.05058
19.95167,50.05058
19.95200,50.05058
19.95233,50.05058
19.95267,50.05058
19.95300,50.05058
19.95333,50.05058
19.95367,50.05058
19.95400,50.05058
19.95433,50.05058
19.95467,50.05058
19.95500,50.05058
19.95533,50.05058
19.95567,50.05058
19.95600,50.05058
19.95633,50.05058
19.95667,50.05058
19.95700,50.05058
19.95733,50.05058
19.95767,50.05058
19.95800,50.05058
19.95833,50.05058
19.95867,50.05058
19.95900,50.05058
19.95933,50.05058
19.95967,50.05058
19.96000,50.05058
19.96033,50.05058
19.96067,50.05058
19.96100,50.05058
19.96133,50.05058
19.96167,50.05058
19.96200,50.05058
19.96233,50.05058
19.96267,50.05058
19.96300,50.05058
19.96333,50.05058
19.96367,50.05058
19.96400,50.05058
19.96433,50.05058
19.96467,50.05058
19.96500,50.05058
19.96533,50.05058
19.96567,50.05058
19.96600,50.05058
19.96633,50.05058
19.95000,50.05060
19.95033,50.05060
19.95067,50.05060
19.95100,50.05060
19.95133,50.05060
19.95167,50.05060
19.95200,50.05060
19.95233,50.05060
19.95267,50.05060
19.95300,50.05060
19.95333,50.05060
19.95367,50.05060
19.95400,50.05060
19.95433,50.05060
19.95467,50.05060
19.95500,50.05060
19.95533,50.05060
19.95567,50.05060
19.95600,50.05060
19.95633,50.05060
19.95667,50.05060
19.95700,50.05060
19.95733,50.05060
19.95767,50.05060
19.95800,50.05060
19.95833,50.05060
19.95867,50.05060
19.95900,50.05060
19.95933,50.05060
19.95967,50.05060
19.96000,50.05060
19.96033,50.05060
19.96067,50.05060
19.96100,50.05060
19.96133,50.05060
19.96167,50.05060
19.96200,50.05060
19.96233,50.05060
19.96267,50.05060
19.96300,50.05060
19.96333,50.05060
19.96367,50.05060
19.96400,50.05060
19.96433,50.05060
19.96467,50.05060
19.96500,50.05060
19.96533,50.05060
19.96567,50.05060
19.96600,50.05060
19.96633,50.05060
19.95000,50.05062
19.95033,50.05062
19.95067,50.05062
19.95100,50.05062
19.95133,50.05062
19.95167,50.05062
19.95200,50.05062
19.95233,50.05062
19.95267,50.05062
19.95300,50.05062
19.95333,50.05062
19.95367,50.05062
19.95400,50.05062
19.95433,50.05062
19.95467,50.05062
19.95500,50.05062
19.95533,50.05062
19.95567,50.05062
19.95600,50.05062
19.95633,50.05062
19.95667,50.05062
19.95700,50.05062
19.95733,50.05062
19.95767,50.05062
19.95800,50.05062
19.95833,50.05062
19.95867,50.05062
19.95900,50.05062
19.95933,50.05062
19.95967,50.05062
19.96000,50.05062
19.96033,50.05062
19.96067,50.05062
19.96100,50.05062
19.96133,50.05062
19.96167,50.05062
19.96200,50.05062
19.96233,50.05062
19.96267,50.05062
19.96300,50.05062
19.96333,50.05062
19.96367,50.05062
19.96400,50.05062
19.96433,50.05062
19.96467,50.05062
19.96500,50.05062
19.96533,50.05062
19.96567,50.05062
19.96600,50.05062
19.96633,50.05062
19.95000,50.05063
19.95033,50.05063
19.95067,50.05063
19.95100,50.05063
19.95133,50.05063
19.95167,50.05063
19.95200,50.05063
19.95233,50.05063
19.95267,50.05063
19.95300,50.05063
19.95333,50.05063
19.95367,50.05063
19.95400,50.05063
19.95433,50.05063
19.95467,50.05063
19.95500,50.05063
19.95533,50.05063
19.95567,50.05063
19.95600,50.05063
19.95633,50.05063
19.95667,50.05063
19.95700,50.05063
19.95733,50.05063
19.95767,50.05063
19.95800,50.05063
19.95833,50.05063
19.95867,50.05063
19.95900,50.05063
19.95933,50.05063
19.95967,50.05063
19.96000,50.05063
19.96033,50.05063
19.96067,50.05063
19.96100,50.05063
19.96133,50.05063
19.96167,50.05063
19.96200,50.05063
19.96233,50.05063
19.96267,50.05063
19.96300,50.05063
19.96333,50.05063
19.96367,50.05063
19.96400,50.05063
19.96433,50.05063
19.96467,50.05063
19.96500,50.05063
19.96533,50.05063
19.96567,50.05063
19.96600,50.05063
19.96633,50.05063
19.95000,50.05065
19.95033,50.05065
19.95067,50.05065
19.95100,50.05065
19.95133,50.05065
19.95167,50.05065
19.95200,50.05065
19.95233,50.05065
19.95267,50.05065
19.95300,50.05065
19.95333,50.05065
19.95367,50.05065
19.95400,50.05065
19.95433,50.05065
19.95467,50.05065
19.95500,50.05065
19.95533,50.05065
19.95567,50.05065
19.95600,50.05065
19.95633,50.05065
19.95667,50.05065
19.95700,50.05065
19.95733,50.05065
19.95767,50.05065
19.95800,50.05065
19.95833,50.05065
19.95867,50.05065
19.95900,50.05065
19.95933,50.05065
19.95967,50.05065
19.96000,50.05065
19.96033,50.05065
19.96067,50.05065
19.96100,50.05065
19.96133,50.05065
19.96167,50.05065
19.96200,50.05065
19.96233,50.05065
19.96267,50.05065
19.96300,50.05065
19.96333,50.05065
19.96367,50.05065
19.96400,50.05065
19.96433,50.05065
19.96467,50.05065
19.96500,50.05065
19.96533,50.05065
19.96567,50.05065
19.96600,50.05065
19.96633,50.05065
19.95000,50.05067
19.95033,50.05067
19.95067,50.05067
19.95100,50.05067
19.95133,50.05067
19.95167,50.05067
19.95200,50.05067
19.95233,50.05067
19.95267,50.05067
19.95300,50.05067
19.95333,50.05067
19.95367,50.05067
19.95400,50.05067
19.95433,50.05067
19.95467,50.05067
19.95500,50.05067
19.95533,50.05067
19.95567,50.05067
19.95600,50.05067
19.95633,50.05067
19.95667,50.05067
19.95700,50.05067
19.95733,50.05067
19.95767,50.05067
19.95800,50.05067
19.95833,50.05067
19.95867,50.05067
19.95900,50.05067
19.95933,50.05067
19.95967,50.05067
19.96000,50.05067
19.96033,50.05067
19.96067,50.05067
19.96100,50.05067
19.96133,50.05067
19.96167,50.05067
19.96200,50.05067
19.96233,50.05067
19.96267,50.05067
19.96300,50.05067
19.96333,50.05067
19.96367,50.05067
19.96400,50.05067
19.96433,50.05067
19.96467,50.05067
19.96500,50.05067
19.96533,50.05067
19.96567,50.05067
19.96600,50.05067
19.96633,50.05067
19.95000,50.05068
19.95033,50.05068
19.95067,50.05068
19.95100,50.05068
19.95133,50.05068
19.95167,50.05068
19.95200,50.05068
19.95233,50.05068
19.95267,50.05068
19.95300,50.05068
19.95333,50.05068
19.95367,50.05068
19.95400,50.05068
19.95433,50.05068
19.95467,50.05068
19.95500,50.05068
19.95533,50.05068
19.95567,50.05068
19.95600,50.05068
19.95633,50.05068
19.95667,50.05068
19.95700,50.05068
19.95733,50.05068
19.95767,50.05068
19.95800,50.05068
19.95833,50.05068
19.95867,50.05068
19.95900,50.05068
19.95933,50.05068
19.95967,50.05068
19.96000,50.05068
19.96033,50.05068
19.96067,50.05068
19.96100,50.05068
19.96133,50.05068
19.96167,50.05068
19.96200,50.05068
19.96233,50.05068
19.96267,50.05068
19.96300,50.05068
19.96333,50.05068
19.96367,50.05068
19.96400,50.05068
19.96433,50.05068
19.96467,50.05068
19.96500,50.05068
19.96533,50.05068
19.96567,50.05068
19.96600,50.05068
19.96633,50.05068
19.95000,50.05070
19.95033,50.05070
19.95067,50.05070
19.95100,50.05070
19.95133,50.05070
19.95167,50.05070
19.95200,50.05070
19.95233,50.05070
19.95267,50.05070
19.95300,50.05070
19.95333,50.05070
19.95367,50.05070
19.95400,50.05070
19.95433,50.05070
19.95467,50.05070
19.95500,50.05070
19.95533,50.05070
19.95567,50.05070
19.95600,50.05070
19.95633,50.05070
19.95667,50.05070
19.95700,50.05070
19.95733,50.05070
19.95767,50.05070
19.95800,50.05070
19.95833,50.05070
19.95867,50.05070
19.95900,50.05070
19.95933,50.05070
19.95967,50.05070
19.96000,50.05070
19.96033,50.05070
19.96067,50.05070
19.96100,50.05070
19.96133,50.05070
19.96167,50.05070
19.96200,50.05070
19.96233,50.05070
19.96267,50.05070
19.96300,50.05070
19.96333,50.05070
19.96367,50.05070
19.96400,50.05070
19.96433,50.05070
19.96467,50.05070
19.96500,50.05070
19.96533,50.05070
19.96567,50.05070
19.96600,50.05070
19.96633,50.05070
19.95000,50.05072
19.95033,50.05072
19.95067,50.05072
19.95100,50.05072
19.95133,50.05072
19.95167,50.05072
19.95200,50.05072
19.95233,50.05072
19.95267,50.05072
19.95300,50.05072
19.95333,50.05072
19.95367,50.05072
19.95400,50.05072
19.95433,50.05072
19.95467,50.05072
19.95500,50.05072
19.95533,50.05072
19.95567,50.05072
19.95600,50.05072
19.95633,50.05072
19.95667,50.05072
19.95700,50.05072
19.95733,50.05072
19.95767,50.05072
19.95800,50.05072
19.95833,50.05072
19.95867,50.05072
19.95900,50.05072
19.95933,50.05072
19.95967,50.05072
19.96000,50.05072
19.96033,50.05072
19.96067,50.05072
19.96100,50.05072
19.96133,50.05072
19.96167,50.05072
19.96200,50.05072
19.96233,50.05072
19.96267,50.05072
19.96300,50.05072
19.96333,50.05072
19.96367,50.05072
19.96400,50.05072
19.96433,50.05072
19.96467,50.05072
19.96500,50.05072
19.96533,50.05072
19.96567,50.05072
19.96600,50.05072
19.96633,50.05072
19.95000,50.05073
19.95033,50.05073
19.95067,50.05073
19.95100,50.05073
19.95133,50.05073
19.95167,50.05073
19.95200,50.05073
19.95233,50.05073
19.95267,50.05073
19.95300,50.05073
19.95333,50.05073
19.95367,50.05073
19.95400,50.05073
19.95433,50.05073
19.95467,50.05073
19.95500,50.05073
19.95533,50.05073
19.95567,50.05073
19.95600,50.05073
19.95633,50.05073
19.95667,50.05073
19.95700,50.05073
19.95733,50.05073
19.95767,50.05073
19.95800,50.05073
19.95833,50.05073
19.95867,50.05073
19.95900,50.05073
19.95933,50.05073
19.95967,50.05073
19.96000,50.05073
19.96033,50.05073
19.96067,50.05073
19.96100,50.05073
19.96133,50.05073
19.96167,50.05073
19.96200,50.05073
19.96233,50.05073
19.96267,50.05073
19.96300,50.05073
19.96333,50.05073
19.96367,50.05073
19.96400,50.05073
19.96433,50.05073
19.96467,50.05073
19.96500,50.05073
19.96533,50.05073
19.96567,50.05073
19.96600,50.05073
19.96633,50.05073
19.95000,50.05075
19.95033,50.05075
19.95067,50.05075
19.95100,50.05075
19.95133,50.05075
19.95167,50.05075
19.95200,50.05075
19.95233,50.05075
19.95267,50.05075
19.95300,50.05075
19.95333,50.05075
19.95367,50.05075
19.95400,50.05075
19.95433,50.05075
19.95467,50.05075
19.95500,50.05075
19.95533,50.05075
19.95567,50.05075
19.95600,50.05075
19.95633,50.05075
19.95667,50.05075
19.95700,50.05075
19.95733,50.05075
19.95767,50.05075
19.95800,50.05075
19.95833,50.05075
19.95867,50.05075
19.95900,50.05075
19.95933,50.05075
19.95967,50.05075
19.96000,50.05075
19.96033,50.05075
19.96067,50.05075
19.96100,50.05075
19.96133,50.05075
19.96167,50.05075
19.96200,50.05075
19.96233,50.05075
19.96267,50.05075
19.96300,50.05075
19.96333,50.05075
19.96367,50.05075
19.96400,50.05075
19.96433,50.05075
19.96467,50.05075
19.96500,50.05075
19.96533,50.05075
19.96567,50.05075
19.96600,50.05075
19.96633,50.05075
19.95000,50.05077
19.95033,50.05077
19.95067,50.05077
19.95100,50.05077
19.95133,50.05077
19.95167,50.05077
19.95200,50.05077
19.95233,50.05077
19.95267,50.05077
19.95300,50.05077
19.95333,50.05077
19.95367,50.05077
19.95400,50.05077
19.95433,50.05077
19.95467,50.05077
19.95500,50.05077
19.95533,50.05077
19.95567,50.05077
19.95600,50.05077
19.95633,50.05077
19.95667,50.05077
19.95700,50.05077
19.95733,50.05077
19.95767,50.05077
19.95800,50.05077
19.95833,50.05077
19.95867,50.05077
19.95900,50.05077
19.95933,50.05077
19.95967,50.05077
19.96000,50.05077
19.96033,50.05077
19.96067,50.05077
19.96100,50.05077
19.96133,50.05077
19.96167,50.05077
19.96200,50.05077
19.96233,50.05077
19.96267,50.05077
19.96300,50.05077
19.96333,50.05077
19.96367,50.05077
19.96400,50.05077
19.96433,50.05077
19.96467,50.05077
19.96500,50.05077
19.96533,50.05077
19.96567,50.05077
19.96600,50.05077
19.96633,50.05077
19.95000,50.05078
19.95033,50.05078
19.95067,50.05078
19.95100,50.05078
19.95133,50.05078
19.95167,50.05078
19.95200,50.05078
19.95233,50.05078
19.95267,50.05078
19.95300,50.05078
19.95333,50.05078
19.95367,50.05078
19.95400,50.05078
19.95433,50.05078
19.95467,50.05078
19.95500,50.05078
19.95533,50.05078
19.95567,50.05078
19.95600,50.05078
19.95633,50.05078
19.95667,50.05078
19.95700,50.05078
19.95733,50.05078
19.95767,50.05078
19.95800,50.05078
19.95833,50.05078
19.95867,50.05078
19.95900,50.05078
19.95933,50.05078
19.95967,50.05078
19.96000,50.05078
19.96033,50.05078
19.96067,50.05078
19.96100,50.05078
19.96133,50.05078
19.96167,50.05078
19.96200,50.05078
19.96233,50.05078
19.96267,50.05078
19.96300,50.05078
19.96333,50.05078
19.96367,50.05078
19.96400,50.05078
19.96433,50.05078
19.96467,50.05078
19.96500,50.05078
19.96533,50.05078
19.96567,50.05078
19.96600,50.05078
19.96633,50.05078
19.95000,50.05080
19.95033,50.05080
19.95067,50.05080
19.95100,50.05080
19.95133,50.05080
19.95167,50.05080
19.95200,50.05080
19.95233,50.05080
19.95267,50.05080
19.95300,50.05080
19.95333,50.05080
19.95367,50.05080
19.95400,50.05080
19.95433,50.05080
19.95467,50.05080
19.95500,50.05080
19.95533,50.05080
19.95567,50.05080
19.95600,50.05080
19.95633,50.05080
19.95667,50.05080
19.95700,50.05080
19.95733,50.05080
19.95767,50.05080
19.95800,50.05080
19.95833,50.05080
19.95867,50.05080
19.95900,50.05080
19.95933,50.05080
19.95967,50.05080
19.96000,50.05080
19.96033,50.05080
19.96067,50.05080
19.96100,50.05080
19.96133,50.05080
19.96167,50.05080
19.96200,50.05080
19.96233,50.05080
19.96267,50.05080
19.96300,50.05080
19.96333,50.05080
19.96367,50.05080
19.96400,50.05080
19.96433,50.05080
19.96467,50.05080
19.96500,50.05080
19.96533,50.05080
19.96567,50.05080
19.96600,50.05080
19.96633,50.05080
19.95000,50.05082
19.95033,50.05082
19.95067,50.05082
19.95100,50.05082
19.95133,50.05082
19.95167,50.05082
19.95200,50.05082
19.95233,50.05082
19.95267,50.05082
19.95300,50.05082
19.95333,50.05082
19.95367,50.05082
19.95400,50.05082
19.95433,50.05082
19.95467,50.05082
19.95500,50.05082
19.95533,50.05082
19.95567,50.05082
19.95600,50.05082
19.95633,50.05082
19.95667,50.05082
19.95700,50.05082
19.95733,50.05082
19.95767,50.05082
19.95800,50.05082
19.95833,50.05082
19.95867,50.05082
19.95900,50.05082
19.95933,50.05082
19.95967,50.05082
19.96000,50.05082
19.96033,50.05082
19.96067,50.05082
19.96100,50.05082
19.96133,50.05082
19.96167,50.05082
19.96200,50.05082
19.96233,50.05082
19.96267,50.05082
19.96300,50.05082
19.96333,50.05082
19.96367,50.05082
19.96400,50.05082
19.96433,50.05082
19.96467,50.05082
19.96500,50.05082
19.96533,50.05082
19.96567,50.05082
19.96600,50.05082
19.96633,50.05082
